action,1
adaptation,2
addiction,3
anticipation,3
anxiety,4
arousal,4
association,2
attention,5
autobiographical_memory,2
balance,3
belief,3
categorization,6
cognitive_control,7
communication,8
competition,3
concept,3
consciousness,3
consolidation,2
context,3
coordination,3
decision,6
decision_making,6
detection,9
discrimination,9
distraction,5
eating,3
efficiency,3
effort,3
emotion,4
emotion_regulation,3
empathy,4
encoding,2
episodic_memory,2
expectancy,10
expertise,2
extinction,3
face_recognition,2
facial_expression,4
familiarity,2
fear,4
fixation,5
focus,5
gaze,3
goal,7
hyperactivity,3
imagery,3
impulsivity,3
induction,3
inference,6
inhibition,7
insight,6
integration,3
intelligence,6
intention,3
interference,3
judgment,6
knowledge,2
language,11
language_comprehension,11
learning,2
listening,3
localization,9
loss,3
maintenance,7
manipulation,7
meaning,11
memory,2
memory_retrieval,2
mental_imagery,9
monitoring,7
mood,4
morphology,11
motor_control,1
movement,1
multisensory,9
naming,11
navigation,9
object_recognition,9
pain,4
perception,9
planning,7
priming,2
psychosis,3
reading,11
reasoning,6
recall,2
recognition,2
rehearsal,2
reinforcement_learning,2
response_inhibition,7
response_selection,1
retention,2
retrieval,2
reward_anticipation,3
rhythm,9
risk,6
rule,3
salience,3
search,5
selective_attention,5
semantic_memory,11
sentence_comprehension,11
skill,2
sleep,3
social_cognition,8
spatial_attention,5
speech_perception,11
speech_production,11
strategy,3
strength,3
stress,4
sustained_attention,5
task_difficulty,10
thought,3
uncertainty,6
updating,7
utility,6
valence,4
verbal_fluency,11
visual_attention,5
visual_perception,9
word_recognition,11
working_memory,7
